Brazil:AOR_AOR_B-2-23.png	"arrow, bow, weapon, anak panah, panah, senjata"
Brazil:AOR_AOR_B-3-1.png	"grass, man, people, rumput, manusia, orang, orang-orang"
Brazil:AOR_B-3-2.png	"boy, child, head, people, anak laki-laki, anak, kepala, orang, orang-orang"
Brazil:AOR_B-3-3.png	"boy, child, head, people, shoulder, anak laki-laki, anak, kepala, orang, orang-orang, bahu"
Brazil:AOR_B-3-5.png	"crying, hair, people, tears, woman, menangis, rambut, orang, orang-orang, air mata, wanita"
Brazil:AOR_B-3-6.png	"boy, child, earring, head, people, shoulder, jewelry, anak laki-laki, anak, anting-anting, kepala, barang-barang perhiasan, orang, orang-orang, bahu"
Brazil:AOR_B-3-7.png	"boy, child, earring, head, people, shoulder, jewelry, anak laki-laki, anak, anting-anting, kepala, barang-barang perhiasan, orang, orang-orang, bahu"
Brazil:AOR_B-3-8.png	"people, woman, orang, orang-orang, wanita"
Brazil:AOR_B-A-10.png	"animal, armadillo, binatang"
Brazil:AOR_B-A-11.png	"bee, nest, bugs, insects, lebah, niri, serangga, sarang"
Brazil:AOR_B-NA-1.png	"peccary, pig, animal, wild pig, binatang, babi"
Brazil:AOR_B-NA-2.png	"bird, bird of prey, hawk, flying, burung , burung pemangsa, burung pemakan daging, terbang, elang"
Brazil:AOR_B-NA-3.png	"bird, toucan, burung"
Brazil:AOR_B-NA-4.png	"animal, anteater, binatang, tenggiling"
Brazil:AOR_B-NA-5.png	"animal, tapir, binatang, tenuk, babi alu"
Brazil:AOR_B-NA-6.png	"parrot, bird, macaw, burung , nuri, bayan"
Brazil:AOR_B-NA-7.png	"animal, capybara, binatang"
Brazil:AOR_B-NA-8.png	"bird, parrot, macaw, burung , nuri, bayan"
Cambodia:AOR_CMB0001.png	"bottle, container, jug, botol, wadah, buyung"
Cambodia:AOR_CMB0002.png	"man, village, manusia, desa, kampung"
Cambodia:AOR_CMB0003.png	"carcass, elephant, man, bangkai, gajah, manusia"
Cambodia:AOR_CMB0004.png	"bloated, health, people, stomach, kesehatan, orang, orang-orang, perut"
Cambodia:AOR_CMB0005.png	"bloated, child, family, health, sick, stomach, ill, anak, keluarga, kesehatan, sakit, perut"
Cambodia:AOR_CMB0006.png	"bloated, health, man, sick, stomach, ill, kesehatan, sakit, manusia, perut"
